reciter,surah_number,surah_name,ayah_number,audio_url,segment_number,start_time,end_time,duration
saad-al-ghamdi-murattal-hafs-954,84,Al-Inshiqaq,17,https://audio-cdn.tarteel.ai/quran/ghamadi/084017.mp3,3,1480,2000,520
saad-al-ghamdi-murattal-hafs-954,84,Al-Inshiqaq,18,https://audio-cdn.tarteel.ai/quran/ghamadi/084018.mp3,3,1160,1840,680
saad-al-ghamdi-murattal-hafs-954,84,Al-Inshiqaq,19,https://audio-cdn.tarteel.ai/quran/ghamadi/084019.mp3,4,3080,4600,1520
saud-al-shuraim-murattal-hafs-960,113,Al-Falaq,1,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113001.mp3,4,1560,2120,560
saud-al-shuraim-murattal-hafs-960,113,Al-Falaq,2,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/113002.mp3,4,1290,1390,100
saud-al-shuraim-murattal-hafs-960,84,Al-Inshiqaq,16,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/084016.mp3,3,1160,2160,1000
saud-al-shuraim-murattal-hafs-960,84,Al-Inshiqaq,17,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/084017.mp3,3,1360,1920,560
saud-al-shuraim-murattal-hafs-960,84,Al-Inshiqaq,18,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/084018.mp3,3,1240,1960,720
saud-al-shuraim-murattal-hafs-960,84,Al-Inshiqaq,19,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/084019.mp3,4,2560,3400,840
yasser-al-dosari-murattal-hafs-961,113,Al-Falaq,1,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/113001.mp3,4,1720,2760,1040
yasser-al-dosari-murattal-hafs-961,113,Al-Falaq,2,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/113002.mp3,4,1890,1990,100
yasser-al-dosari-murattal-hafs-961,84,Al-Inshiqaq,16,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/084016.mp3,3,2480,3640,1160
yasser-al-dosari-murattal-hafs-961,84,Al-Inshiqaq,17,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/084017.mp3,3,1400,2000,600
yasser-al-dosari-murattal-hafs-961,84,Al-Inshiqaq,18,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/084018.mp3,3,1160,1920,760
yasser-al-dosari-murattal-hafs-961,84,Al-Inshiqaq,19,https://audio-cdn.tarteel.ai/quran/yasserAlDosari/084019.mp3,4,3680,4760,1080
